name,description,tessellate,WKT
"Westport",,,"POINT Z (-9.50998 53.795725 0)"
"Cork",,,"POINT Z (-8.45756 51.901005 0)"
"Belfast",,,"POINT Z (-5.917271 54.594629 0)"
"Dublin",,,"POINT Z (-6.24715 53.352548 0)"
"Faro",,,"POINT Z (-7.940672 37.019389 0)"
"Porto",,,"POINT Z (-8.609558 41.145249 0)"
"Lisbon",,,"POINT Z (-9.141473 38.714152 0)"
"Santiago de Compostela",,,"POINT Z (-8.544694 42.870519 0)"
"Santander",,,"POINT Z (-3.811224 43.458229 0)"
"Pamplona",,,"POINT Z (-1.661531 42.824738 0)"
"Seville",,,"POINT Z (-5.975356 37.391648 0)"
"Málaga",,,"POINT Z (-4.43229 36.711427 0)"
"Valencia",,,"POINT Z (-0.381325 39.458883 0)"
"Madrid",,,"POINT Z (-3.690719 40.405679 0)"
"Barcelona",,,"POINT Z (2.140469 41.378603 0)"
"Montpellier",,,"POINT Z (3.880453 43.604241 0)"
"Marseille",,,"POINT Z (5.381999 43.303276 0)"
"Nice",,,"POINT Z (7.26187 43.704166 0)"
"Catania",,,"POINT Z (15.106632 37.515359 0)"
"Bari",,,"POINT Z (16.869183 41.117164 0)"
"Naples",,,"POINT Z (14.27293 40.852658 0)"
"Rome",,,"POINT Z (12.50197 41.899798 0)"
"Florence",,,"POINT Z (11.247401 43.776565 0)"
"Bologna",,,"POINT Z (11.341174 44.506272 0)"
"Venice",,,"POINT Z (12.320251 45.440948 0)"
"Milan",,,"POINT Z (9.204492 45.485641 0)"
"Bern",,,"POINT Z (7.437358 46.948635 0)"
"Lyon",,,"POINT Z (4.859966 45.760029 0)"
"Bordeaux",,,"POINT Z (-0.556307 44.824373 0)"
"Rennes",,,"POINT Z (-1.672044 48.103351 0)"
"Istanbul",,,"POINT Z (28.979608 41.015402 0)"
"Stockholm",,,"POINT Z (18.057932 59.330669 0)"
"Amsterdam",,,"POINT Z (4.900506 52.378769 0)"
"Brussels",,,"POINT Z (4.357016 50.845487 0)"
"Cologne",,,"POINT Z (6.95842 50.943124 0)"
"Berlin",,,"POINT Z (13.369402 52.525084 0)"
"Hamburg",,,"POINT Z (10.006979 53.552812 0)"
"Copenhagen",,,"POINT Z (12.564869 55.672689 0)"
"Oslo",,,"POINT Z (10.752457 59.911096 0)"
"Östersund",,,"POINT Z (14.637091 63.170289 0)"
"Trondheim",,,"POINT Z (10.398796 63.436671 0)"
"Kiruna",,,"POINT Z (20.200241 67.8673 0)"
"Bergen",,,"POINT Z (5.332923 60.39046 0)"
"Frankfurt",,,"POINT Z (8.662162 50.106529 0)"
"Munich",,,"POINT Z (11.557766 48.140458 0)"
"Prague",,,"POINT Z (14.436055 50.082891 0)"
"Warsaw",,,"POINT Z (21.003275 52.228841 0)"
"Vienna",,,"POINT Z (16.376485 48.185223 0)"
"Budapest",,,"POINT Z (19.083991 47.500173 0)"
"Ljubljana",,,"POINT Z (14.512516 46.058753 0)"
"Zagreb",,,"POINT Z (15.97848 45.804218 0)"
"Split",,,"POINT Z (16.455219 43.52207 0)"
"Belgrade",,,"POINT Z (20.455271 44.808865 0)"
"Bucharest",,,"POINT Z (26.073654 44.446557 0)"
"Sofia",,,"POINT Z (23.321444 42.711976 0)"
"Skopje",,,"POINT Z (21.446154 41.991121 0)"
"Thessaloniki",,,"POINT Z (22.929825 40.644522 0)"
"Athens",,,"POINT Z (23.720809 37.992411 0)"
"Patras",,,"POINT Z (21.734772 38.249375 0)"
"Helsinki",,,"POINT Z (24.941492 60.17096 0)"
"Turku",,,"POINT Z (22.253525 60.453301 0)"
"Rovaniemi",,,"POINT Z (25.70505 66.498039 0)"
"Paris",,,"POINT Z (2.355006 48.87993 0)"
"London",,,"POINT Z (-0.126133 51.531427 0)"
"Penzance",,,"POINT Z (-5.532589 50.121316 0)"
"Bristol",,,"POINT Z (-2.580706 51.449065 0)"
"Birmingham",,,"POINT Z (-1.898574 52.477492 0)"
"Holyhead",,,"POINT Z (-4.630768 53.307618 0)"
"Edinburgh",,,"POINT Z (-3.188345 55.952064 0)"
"Glasgow",,,"POINT Z (-4.25806 55.860302 0)"
"Aberdeen",,,"POINT Z (-2.098714 57.143437 0)"
"Vilnius",,,"POINT Z (25.2796514 54.6871555 0)"
"Bialystok",,,"POINT Z (23.1613874 53.1322455 0)"
"Klaipėda",,,"POINT Z (21.1442795 55.7032948 0)"
"Riga",,,"POINT Z (24.1051864999999 56.9496487 0)"
"Tallinn",,,"POINT Z (24.7538634 59.441099 0)"
"Ankara",,,"POINT Z (32.8615239 39.9019795 0)"
"Gdańsk",,,"POINT Z (18.6466384 54.3520252 0)"
"Poznań",,,"POINT Z (16.9251681 52.406374 0)"
"Wrocław",,,"POINT Z (17.0385376 51.1078852 0)"
"Krakau",,,"POINT Z (19.9449799 50.0646501 0)"
"Rhodes",,,"POINT Z (28.236749 36.442047 0)"
"Igoumenitsa",,,"POINT Z (20.26261 39.499549 0)"
"Ancona",,,"POINT Z (13.505289 43.617828 0)"
"Heraklion",,,"POINT Z (25.143183 35.342636 0)"
